Date,Time,Lat,Lon,Wind,Pressure
Sep/28/2016 ,1500 GMT,13.4,-60.7,60,1008
Sep/28/2016 ,1500 GMT,13.4,-60.7,60,1008
Sep/28/2016 ,1800 GMT,13.6,-61.3,60,1008
Sep/28/2016 ,2100 GMT,13.8,-62.0,60,1008
Sep/28/2016 ,2100 GMT,13.8,-62.0,60,1008
Sep/29/2016 ,0000 GMT,13.9,-62.4,65,1004
Sep/29/2016 ,0300 GMT,13.9,-63.1,65,1004
Sep/29/2016 ,0300 GMT,13.9,-63.1,65,1004
Sep/29/2016 ,0600 GMT,13.9,-64.0,65,1002
Sep/29/2016 ,0900 GMT,14.0,-64.7,65,1002
Sep/29/2016 ,0900 GMT,14.0,-64.7,65,1002
Sep/29/2016 ,1200 GMT,14.1,-65.5,70,995
Sep/29/2016 ,1500 GMT,14.2,-66.3,70,996
Sep/29/2016 ,2100 GMT,14.1,-67.8,75,993
Sep/30/2016 ,0300 GMT,14.1,-68.8,80,983
Sep/30/2016 ,0600 GMT,14.1,-69.3,100,979
Sep/30/2016 ,0900 GMT,14.0,-69.9,100,979
Sep/30/2016 ,1500 GMT,13.7,-70.8,115,968
Sep/30/2016 ,2100 GMT,13.5,-71.6,140,949
Oct/01/2016 ,0300 GMT,13.3,-72.3,160,941
Oct/01/2016 ,0900 GMT,13.3,-72.8,155,942
Oct/01/2016 ,1500 GMT,13.4,-73.4,145,947
Oct/01/2016 ,2100 GMT,13.5,-73.4,150,940
Oct/02/2016 ,0300 GMT,13.8,-73.6,150,940
Oct/02/2016 ,0900 GMT,13.9,-74.1,150,940
Oct/02/2016 ,1500 GMT,14.0,-74.6,140,947
Oct/02/2016 ,2100 GMT,14.6,-74.8,145,945
Oct/03/2016 ,0300 GMT,14.7,-75.0,145,943
Oct/03/2016 ,0900 GMT,15.2,-74.9,135,943
Oct/03/2016 ,1500 GMT,15.6,-75.0,140,941
Oct/03/2016 ,2100 GMT,16.3,-74.7,140,940
Oct/04/2016 ,0300 GMT,16.9,-74.6,145,934
Oct/04/2016 ,0900 GMT,17.8,-74.4,145,934
Oct/04/2016 ,1500 GMT,18.9,-74.3,145,950
Oct/04/2016 ,2100 GMT,19.8,-74.3,140,949
Oct/05/2016 ,0300 GMT,20.4,-74.4,135,950
Oct/05/2016 ,0900 GMT,21.1,-74.6,125,962
Oct/05/2016 ,1500 GMT,21.8,-75.2,120,962
Oct/05/2016 ,2100 GMT,22.5,-75.7,120,963
Oct/06/2016 ,0300 GMT,23.4,-76.4,115,961
Oct/06/2016 ,0900 GMT,24.2,-77.1,125,944
Oct/06/2016 ,1500 GMT,25.1,-77.8,140,940
Oct/06/2016 ,2100 GMT,26.2,-78.6,140,938
Oct/07/2016 ,0300 GMT,27.1,-79.2,135,939
Oct/07/2016 ,0900 GMT,28.2,-80.0,120,938
Oct/07/2016 ,1500 GMT,29.4,-80.5,120,947
Oct/07/2016 ,2100 GMT,30.2,-80.7,110,948
Oct/08/2016 ,0300 GMT,31.2,-80.5,105,948
Oct/08/2016 ,0900 GMT,32.0,-80.5,105,955
Oct/08/2016 ,1500 GMT,33.0,-79.4,75,967
Oct/08/2016 ,2100 GMT,33.8,-78.2,75,977
Oct/09/2016 ,0300 GMT,34.1,-76.5,75,982
Oct/09/2016 ,0900 GMT,34.9,-75.1,75,983
Oct/09/2016 ,1500 GMT,35.2,-73.7,75,984
Oct/09/2016 ,2100 GMT,35.4,-72.0,75,988
