Date,Time,Lat,Lon,Wind,Pressure
Jan/13/2016 ,2100 GMT,27.1,-30.8,50,990
Jan/13/2016 ,2100 GMT,27.1,-30.8,50,990
Jan/14/2016 ,0300 GMT,28.7,-30.0,60,988
Jan/14/2016 ,0300 GMT,28.7,-30.0,60,988
Jan/14/2016 ,0900 GMT,30.1,-29.3,70,984
Jan/14/2016 ,0900 GMT,30.1,-29.3,70,984
Jan/14/2016 ,1500 GMT,31.5,-28.4,85,981
Jan/14/2016 ,1500 GMT,31.5,-28.4,85,981
Jan/14/2016 ,1800 GMT,32.6,-28.0,85,981
Jan/14/2016 ,2100 GMT,33.6,-27.8,85,981
Jan/14/2016 ,2100 GMT,33.6,-27.8,85,981
Jan/15/2016 ,0000 GMT,33.9,-27.8,85,981
Jan/15/2016 ,0300 GMT,34.7,-27.6,80,984
Jan/15/2016 ,0300 GMT,34.7,-27.6,80,984
Jan/15/2016 ,0600 GMT,35.5,-27.3,80,984
Jan/15/2016 ,0900 GMT,36.8,-27.0,75,986
Jan/15/2016 ,0900 GMT,36.8,-27.0,75,986
Jan/15/2016 ,1200 GMT,38.0,-26.9,75,986
Jan/15/2016 ,1500 GMT,39.3,-27.0,70,986
Jan/15/2016 ,1500 GMT,39.3,-27.0,70,986
Jan/15/2016 ,2100 GMT,43.0,-27.8,70,986
Jan/15/2016 ,2100 GMT,43.0,-27.8,70,986
